"Year","predicted","std.error","conf.low","conf.high","Race","Sexual_Orientation","Gender","strata","strata2","state"
"2007",39.39,0.152162279126609,32.54,46.69,"Hispanic","Bisexual","Female","Hispanic-Female","Bisexual-Female","46 States"
"2007",35.89,0.161034726812722,28.99,43.43,"Hispanic","Homosexual","Female","Hispanic-Female","Homosexual-Female","46 States"
"2007",27.53,0.159868836911686,21.74,34.2,"Hispanic","Othersexual","Female","Hispanic-Female","Othersexual-Female","46 States"
"2007",10.02,0.143127220226265,7.76,12.84,"MultiRace","Heterosexual","Male","MultiRace-Male","Heterosexual-Male","46 States"
"2007",33,0.162251604940873,26.38,40.37,"MultiRace","Bisexual","Male","MultiRace-Male","Bisexual-Male","46 States"
"2007",28.33,0.161491555243419,22.36,35.17,"MultiRace","Homosexual","Male","MultiRace-Male","Homosexual-Male","46 States"
"2007",21.36,0.164575167007805,16.44,27.28,"MultiRace","Othersexual","Male","MultiRace-Male","Othersexual-Male","46 States"
"2007",15.6,0.135942514535844,12.4,19.43,"MultiRace","Heterosexual","Female","MultiRace-Female","Heterosexual-Female","46 States"
"2007",44.22,0.157231140796701,36.81,51.9,"MultiRace","Bisexual","Female","MultiRace-Female","Bisexual-Female","46 States"
"2007",39.25,0.164570962583596,31.88,47.15,"MultiRace","Homosexual","Female","MultiRace-Female","Homosexual-Female","46 States"
"2007",31.13,0.16283348426471,24.73,38.35,"MultiRace","Othersexual","Female","MultiRace-Female","Othersexual-Female","46 States"
"2007",8.45,0.155007897397977,6.37,11.11,"OtherRace","Heterosexual","Male","OtherRace-Male","Heterosexual-Male","46 States"
"2007",31.06,0.165052324093735,24.58,38.37,"OtherRace","Bisexual","Male","OtherRace-Male","Bisexual-Male","46 States"
"2007",25.69,0.165873123501323,19.98,32.36,"OtherRace","Homosexual","Male","OtherRace-Male","Homosexual-Male","46 States"
"2007",19.45,0.165441870193639,14.86,25.03,"OtherRace","Othersexual","Male","OtherRace-Male","Othersexual-Male","46 States"
"2007",13.3,0.155184468807986,10.17,17.21,"OtherRace","Heterosexual","Female","OtherRace-Female","Heterosexual-Female","46 States"
"2007",41.82,0.163511544387512,34.29,49.76,"OtherRace","Bisexual","Female","OtherRace-Female","Bisexual-Female","46 States"
"2007",36.16,0.166100434381559,29.03,43.96,"OtherRace","Homosexual","Female","OtherRace-Female","Homosexual-Female","46 States"
"2007",27.75,0.165054627800492,21.75,34.68,"OtherRace","Othersexual","Female","OtherRace-Female","Othersexual-Female","46 States"
"2009",8.94,0.0446140715727031,8.25,9.68,"White","Heterosexual","Male","White-Male","Heterosexual-Male","46 States"
"2009",35.42,0.129920769269048,29.83,41.44,"White","Bisexual","Male","White-Male","Bisexual-Male","46 States"
"2009",26.47,0.132880709575053,21.71,31.83,"White","Homosexual","Male","White-Male","Homosexual-Male","46 States"
"2009",20.72,0.134564028016917,16.72,25.39,"White","Othersexual","Male","White-Male","Othersexual-Male","46 States"
"2009",11.88,0.0396206955811059,11.09,12.72,"White","Heterosexual","Female","White-Female","Heterosexual-Female","46 States"
"2009",43.37,0.0878473507094601,39.2,47.64,"White","Bisexual","Female","White-Female","Bisexual-Female","46 States"
"2009",38.36,0.134893042323993,32.33,44.77,"White","Homosexual","Female","White-Female","Homosexual-Female","46 States"
"2009",29.46,0.119770215494758,24.83,34.56,"White","Othersexual","Female","White-Female","Othersexual-Female","46 States"
"2009",8.39,0.135380674230455,6.56,10.66,"Asian","Heterosexual","Male","Asian-Male","Heterosexual-Male","46 States"
"2009",30.14,0.155465297349222,24.14,36.92,"Asian","Bisexual","Male","Asian-Male","Bisexual-Male","46 States"
"2009",25.25,0.158658774621134,19.84,31.55,"Asian","Homosexual","Male","Asian-Male","Homosexual-Male","46 States"
"2009",19.81,0.155701054057769,15.4,25.11,"Asian","Othersexual","Male","Asian-Male","Othersexual-Male","46 States"
"2009",13.23,0.12741777995984,10.62,16.37,"Asian","Heterosexual","Female","Asian-Female","Heterosexual-Female","46 States"
"2009",40.37,0.153577241067608,33.38,47.77,"Asian","Bisexual","Female","Asian-Female","Bisexual-Female","46 States"
"2009",35.2,0.159074836657154,28.45,42.59,"Asian","Homosexual","Female","Asian-Female","Homosexual-Female","46 States"
"2009",28.51,0.153856155817186,22.78,35.03,"Asian","Othersexual","Female","Asian-Female","Othersexual-Female","46 States"
"2009",8.65,0.100230666584251,7.22,10.33,"Black","Heterosexual","Male","Black-Male","Heterosexual-Male","46 States"
"2009",31.05,0.151588474329017,25.07,37.74,"Black","Bisexual","Male","Black-Male","Bisexual-Male","46 States"
"2009",26.21,0.151922329986476,20.86,32.35,"Black","Homosexual","Male","Black-Male","Homosexual-Male","46 States"
"2009",18.3,0.151170756234532,14.28,23.15,"Black","Othersexual","Male","Black-Male","Othersexual-Male","46 States"
"2009",12.66,0.0879610244849226,10.88,14.7,"Black","Heterosexual","Female","Black-Female","Heterosexual-Female","46 States"
"2009",41.99,0.139910929292746,35.49,48.77,"Black","Bisexual","Female","Black-Female","Bisexual-Female","46 States"
"2009",34.2,0.148813202705303,27.97,41.03,"Black","Homosexual","Female","Black-Female","Homosexual-Female","46 States"
"2009",25.74,0.149778712215059,20.54,31.73,"Black","Othersexual","Female","Black-Female","Othersexual-Female","46 States"
"2009",10.98,0.0889019954450461,9.39,12.8,"Hispanic","Heterosexual","Male","Hispanic-Male","Heterosexual-Male","46 States"
"2009",34.63,0.148146971395747,28.38,41.46,"Hispanic","Bisexual","Male","Hispanic-Male","Bisexual-Male","46 States"
"2009",30.66,0.146157691758214,24.92,37.06,"Hispanic","Homosexual","Male","Hispanic-Male","Homosexual-Male","46 States"
"2009",22.89,0.146063427084068,18.23,28.33,"Hispanic","Othersexual","Male","Hispanic-Male","Othersexual-Male","46 States"
"2009",16.2,0.0792375116150331,14.2,18.42,"Hispanic","Heterosexual","Female","Hispanic-Female","Heterosexual-Female","46 States"
"2009",44.06,0.123805913943117,38.19,50.09,"Hispanic","Bisexual","Female","Hispanic-Female","Bisexual-Female","46 States"
"2009",38.66,0.143820345502947,32.22,45.51,"Hispanic","Homosexual","Female","Hispanic-Female","Homosexual-Female","46 States"
"2009",31.53,0.145381728584048,25.72,37.97,"Hispanic","Othersexual","Female","Hispanic-Female","Othersexual-Female","46 States"
"2009",11.15,0.120766574265771,9.01,13.72,"MultiRace","Heterosexual","Male","MultiRace-Male","Heterosexual-Male","46 States"
"2009",38.52,0.154741594317094,31.63,45.9,"MultiRace","Bisexual","Male","MultiRace-Male","Bisexual-Male","46 States"
"2009",32.82,0.155962843004383,26.46,39.87,"MultiRace","Homosexual","Male","MultiRace-Male","Homosexual-Male","46 States"
"2009",24.23,0.155304263281737,19.09,30.25,"MultiRace","Othersexual","Male","MultiRace-Male","Othersexual-Male","46 States"
"2009",16.68,0.112936132826289,13.83,19.99,"MultiRace","Heterosexual","Female","MultiRace-Female","Heterosexual-Female","46 States"
"2009",49.08,0.143449370334313,42.12,56.08,"MultiRace","Bisexual","Female","MultiRace-Female","Bisexual-Female","46 States"
"2009",42.94,0.154498169157739,35.73,50.46,"MultiRace","Homosexual","Female","MultiRace-Female","Homosexual-Female","46 States"
"2009",36.14,0.152078270512536,29.58,43.26,"MultiRace","Othersexual","Female","MultiRace-Female","Othersexual-Female","46 States"
"2009",11.02,0.122533259886506,8.87,13.6,"OtherRace","Heterosexual","Male","OtherRace-Male","Heterosexual-Male","46 States"
"2009",36.3,0.154334640532287,29.63,43.54,"OtherRace","Bisexual","Male","OtherRace-Male","Bisexual-Male","46 States"
"2009",29.27,0.157483335440759,23.31,36.04,"OtherRace","Homosexual","Male","OtherRace-Male","Homosexual-Male","46 States"
"2009",22.08,0.154096862894506,17.32,27.7,"OtherRace","Othersexual","Male","OtherRace-Male","Othersexual-Male","46 States"
"2009",17.45,0.121493419009066,14.28,21.14,"OtherRace","Heterosexual","Female","OtherRace-Female","Heterosexual-Female","46 States"
"2009",47.46,0.145596489165171,40.45,54.58,"OtherRace","Bisexual","Female","OtherRace-Female","Bisexual-Female","46 States"
"2009",40.5,0.156999658658754,33.35,48.08,"OtherRace","Homosexual","Female","OtherRace-Female","Homosexual-Female","46 States"
"2009",32.88,0.153148345622475,26.62,39.8,"OtherRace","Othersexual","Female","OtherRace-Female","Othersexual-Female","46 States"
"2011",8.62,0.0396088072740067,8.03,9.25,"White","Heterosexual","Male","White-Male","Heterosexual-Male","46 States"
"2011",34.37,0.116933497861842,29.4,39.71,"White","Bisexual","Male","White-Male","Bisexual-Male","46 States"
"2011",28.02,0.121057794741576,23.49,33.04,"White","Homosexual","Male","White-Male","Homosexual-Male","46 States"
"2011",22.47,0.117802898448868,18.7,26.74,"White","Othersexual","Male","White-Male","Othersexual-Male","46 States"
"2011",11.59,0.035015371005162,10.9,12.31,"White","Heterosexual","Female","White-Female","Heterosexual-Female","46 States"
"2011",45.97,0.078250362656327,42.19,49.8,"White","Bisexual","Female","White-Female","Bisexual-Female","46 States"
"2011",39.88,0.125141560719081,34.17,45.88,"White","Homosexual","Female","White-Female","Homosexual-Female","46 States"
"2011",28.5,0.10854842163067,24.37,33.03,"White","Othersexual","Female","White-Female","Othersexual-Female","46 States"
"2011",10.15,0.0909398081742115,8.64,11.9,"Asian","Heterosexual","Male","Asian-Male","Heterosexual-Male","46 States"
"2011",29.36,0.147929183758191,23.72,35.7,"Asian","Bisexual","Male","Asian-Male","Bisexual-Male","46 States"
"2011",25.75,0.150487647495881,20.53,31.78,"Asian","Homosexual","Male","Asian-Male","Homosexual-Male","46 States"
"2011",19.22,0.147059322266096,15.13,24.09,"Asian","Othersexual","Male","Asian-Male","Othersexual-Male","46 States"
"2011",13.44,0.0849325149727163,11.62,15.5,"Asian","Heterosexual","Female","Asian-Female","Heterosexual-Female","46 States"
"2011",41.46,0.140242326339345,34.98,48.24,"Asian","Bisexual","Female","Asian-Female","Bisexual-Female","46 States"
