"Year","predicted","std.error","conf.low","conf.high","Race","Sexual_Orientation","Gender","strata","strata2","state","Level"
"2007",8.0420667125074,0.0857030688869738,6.88416730146597,9.37511340689337,"White","Heterosexual","Male","White-Male","Heterosexual-Male","1:Lowest",0
"2007",30.143672761054,0.155744938067474,24.1271693810754,36.9302291641234,"White","Bisexual","Male","White-Male","Bisexual-Male","1:Lowest",0
"2007",23.4541515231245,0.160840293605128,18.2711528895821,29.5753689786232,"White","Homosexual","Male","White-Male","Homosexual-Male","1:Lowest",0
"2007",18.8101514034758,0.159670138480818,14.4879349068046,24.0590322882822,"White","Othersexual","Male","White-Male","Othersexual-Male","1:Lowest",0
"2007",10.8064857073753,0.0774073058109596,9.42871520219247,12.3581125878345,"White","Heterosexual","Female","White-Female","Heterosexual-Female","1:Lowest",0
"2007",43.1473366892483,0.131065654651161,36.9881238142275,49.5260539221412,"White","Bisexual","Female","White-Female","Bisexual-Female","1:Lowest",0
"2007",34.1498942689921,0.158888190650672,27.5272007414918,41.4545334154753,"White","Homosexual","Female","White-Female","Homosexual-Female","1:Lowest",0
"2007",25.6530239139,0.153470223842924,20.3448698910892,31.793338848269,"White","Othersexual","Female","White-Female","Othersexual-Female","1:Lowest",0
"2007",6.91474809605588,0.159765642718483,5.15149422045786,9.22284315698573,"Asian","Heterosexual","Male","Asian-Male","Heterosexual-Male","1:Lowest",0
"2007",25.9842159732906,0.168203241847393,20.1577917592142,32.8028199728759,"Asian","Bisexual","Male","Asian-Male","Bisexual-Male","1:Lowest",0
"2007",20.9865385022919,0.169304056908532,16.0088884512599,27.014102872539,"Asian","Homosexual","Male","Asian-Male","Homosexual-Male","1:Lowest",0
"2007",16.1628865233609,0.167813834070917,12.1845659883593,21.1276342054145,"Asian","Othersexual","Male","Asian-Male","Othersexual-Male","1:Lowest",0
"2007",11.0914029159701,0.15657297172018,8.40680152941781,14.4976020572704,"Asian","Heterosexual","Female","Asian-Female","Heterosexual-Female","1:Lowest",0
"2007",36.0299962833838,0.166791260139237,28.8851752820315,43.8523234527076,"Asian","Bisexual","Female","Asian-Female","Bisexual-Female","1:Lowest",0
"2007",30.2782603673357,0.169363567549299,23.7573567337102,37.7038901857152,"Asian","Homosexual","Female","Asian-Female","Homosexual-Female","1:Lowest",0
"2007",23.2683724087807,0.167875532871069,17.9130589510136,29.6464897896424,"Asian","Othersexual","Female","Asian-Female","Othersexual-Female","1:Lowest",0
"2007",6.74552704605569,0.139989514046782,5.21127062839302,8.69007441140411,"Black","Heterosexual","Male","Black-Male","Heterosexual-Male","1:Lowest",0
"2007",24.0999307140628,0.165964349328824,18.6564019470733,30.5355298064375,"Black","Bisexual","Male","Black-Male","Bisexual-Male","1:Lowest",0
"2007",20.273500778255,0.16650512033672,15.503669050977,26.0582476634431,"Black","Homosexual","Male","Black-Male","Homosexual-Male","1:Lowest",0
"2007",14.7254488071868,0.166726389844326,11.0752602541163,19.3173307518234,"Black","Othersexual","Male","Black-Male","Othersexual-Male","1:Lowest",0
"2007",9.410210442316,0.136285847728549,7.36681804772527,11.9472931512045,"Black","Heterosexual","Female","Black-Female","Heterosexual-Female","1:Lowest",0
"2007",34.4559148425869,0.16282701023526,27.644246066933,41.9723824633526,"Black","Bisexual","Female","Black-Female","Bisexual-Female","1:Lowest",0
"2007",28.6177595826542,0.166045739039842,22.4529074587315,35.6961205795427,"Black","Homosexual","Female","Black-Female","Homosexual-Female","1:Lowest",0
"2007",21.5627644110007,0.166164936749915,16.5617904201961,27.5747697117837,"Black","Othersexual","Female","Black-Female","Othersexual-Female","1:Lowest",0
"2007",7.95074351353721,0.133054855125182,6.23951463274093,10.0808290645988,"Hispanic","Heterosexual","Male","Hispanic-Male","Heterosexual-Male","1:Lowest",0
"2007",28.1057711936266,0.161776936457285,22.1611824351641,34.9293968879977,"Hispanic","Bisexual","Male","Hispanic-Male","Bisexual-Male","1:Lowest",0
"2007",23.8899984556562,0.163786220169422,18.5467467657926,30.2018422246437,"Hispanic","Homosexual","Male","Hispanic-Male","Homosexual-Male","1:Lowest",0
"2007",17.8203251523107,0.166128597040732,13.5383518566799,23.0948664097032,"Hispanic","Othersexual","Male","Hispanic-Male","Othersexual-Male","1:Lowest",0
"2007",13.8429217018871,0.119504081929972,11.2783219502181,16.8797399527155,"Hispanic","Heterosexual","Female","Hispanic-Female","Heterosexual-Female","1:Lowest",0
"2007",38.2453552206553,0.156601161549784,31.3011051428528,45.7052483072545,"Hispanic","Bisexual","Female","Hispanic-Female","Bisexual-Female","1:Lowest",0
"2007",34.4534097850242,0.164823263402667,27.5638394591539,42.0650022203244,"Hispanic","Homosexual","Female","Hispanic-Female","Homosexual-Female","1:Lowest",0
"2007",26.6475715372709,0.163337177315807,20.8711027543155,33.3489924086936,"Hispanic","Othersexual","Female","Hispanic-Female","Othersexual-Female","1:Lowest",0
"2007",9.25884916006048,0.149336825864124,7.07565270948843,12.0284753224631,"MultiRace","Heterosexual","Male","MultiRace-Male","Heterosexual-Male","1:Lowest",0
"2007",31.4127758447366,0.165568287080231,24.8729562917729,38.7844056588602,"MultiRace","Bisexual","Male","MultiRace-Male","Bisexual-Male","1:Lowest",0
"2007",26.8490408486137,0.165104680343417,20.9839295672584,33.6552423063867,"MultiRace","Homosexual","Male","MultiRace-Male","Homosexual-Male","1:Lowest",0
"2007",20.3381205112151,0.167981765349746,15.5180715110199,26.1911712109745,"MultiRace","Othersexual","Male","MultiRace-Male","Othersexual-Male","1:Lowest",0
"2007",14.8170557428246,0.142635285278954,11.6234472770172,18.7024359331757,"MultiRace","Heterosexual","Female","MultiRace-Female","Heterosexual-Female","1:Lowest",0
